Name,Category,Price,Unit
Flexible Hose 1/2,Electrical,10,meter
Orange Pipe 1/2,Electrical,75,meter
Orange Pipe 3/4,Electrical,90,meter
Orange Pipe #1,Electrical,120,meter
Entrance Cap 1/2,Electrical,35,piece
Entrance Cap 3/4,Electrical,45,piece
Entrance Cap 1,Electrical,50,piece
Pannel Box 4 holes,Electrical,420,piece
Pannel Box 6 holes,Electrical,520,piece
Pannel Box 8 holes,Electrical,650,piece
Pannel Box 10 holes,Electrical,1100,piece
Pannel Box 16 holes,Electrical,1900,piece
Thhn # 6,Electrical,15000,piece
Thhn #8,Electrical,8250,piece
Thhn #10,Electrical,5250,piece
Thhn #12,Electrical,3750,piece
Thhn # 14,Electrical,2550,piece
Receptacles,Electrical,50,piece
Plate,Electrical,80,piece
Switch,Electrical,90,piece
Outlet,Electrical,90,piece
Aircon Outlet,Electrical,100,piece
Utility Box,Electrical,25,piece
Junction Box,Electrical,25,piece
Square Box,Electrical,60,piece
Electrical Tape,Electrical,50,piece
Cicuit Breaker 15Amps,Electrical,380,piece
Cicuit Breaker 20Amps,Electrical,380,piece
Cicuit Breaker 30Amps,Electrical,380,piece
Cicuit Breaker 40Amps,Electrical,380,piece
Cicuit Breaker 60Amps,Electrical,380,piece
Cicuit Breaker 100Amps,Electrical,500,piece
Orange PVC Pie #4,Plumbing,580,meter
Orange PVC Pie #3,Plumbing,520,meter
Orange PVC Pie #2,Plumbing,250,meter
PE pipe 1/2,Plumbing,40,meter
Blue Pipe 1/2,Plumbing,90,meter
Blue Pipe 3/4,Plumbing,130,meter
Blue Pipe 1,Plumbing,150,meter
Solvent 100 cc,Plumbing,85,piece
Elbow 4x90,Plumbing,85,piece
Elbow 4x45,Plumbing,80,piece
Elbow 3x90,Plumbing,75,piece
Elbow 3x45,Plumbing,70,piece
Elbow 2x90,Plumbing,35,piece
Elbow 2x45,Plumbing,30,piece
Gi elbow 1/2,Plumbing,45,piece
Gi tee 1/2,Plumbing,45,piece
Gi Coupling 1/2,Plumbing,35,piece
Union Patente 1/2,Plumbing,120,piece
Gate Valve,Plumbing,250,piece
Faucet,Plumbing,200,piece
Lavatory Aucet,Plumbing,300,piece
Angle Valve,Plumbing,150,piece
Tee 3x3,Plumbing,90,piece
Tee 3x2,Plumbing,85,piece
Tee 4x4,Plumbing,120,piece
Tee4x3,Plumbing,110,piece
Tee 4x2,Plumbing,110,piece
Tee 2x2,Plumbing,45,piece
Wye 4x4,Plumbing,130,piece
Wye 4x3,Plumbing,120,piece
